Date,Name,Year,Letterboxd URI,Rating,Rewatch,Tags,Watched Date
2017-07-13,The Fits,2015,https://boxd.it/iuzNz,4,,online,2017-07-12
2017-07-14,Wendy and Lucy,2008,https://boxd.it/ivHFl,4.5,,online,2017-07-13
2017-07-15,A Touch of Sin,2013,https://boxd.it/ix583,2,,"facom, cinema internacional",2017-07-14
2017-07-18,12 Feet Deep,2017,https://boxd.it/iCv1d,1,,"online, dani",2017-07-17
2017-07-21,The Witch,2015,https://boxd.it/iG0LH,5,Yes,"dani, online",2017-07-19
2017-07-22,Three Times,2005,https://boxd.it/iHorX,3,,"facom, cinema internacional",2017-07-21
2017-07-25,Moana,2016,https://boxd.it/iNlGx,4.5,Yes,"tv, theo, milla, ramona, renata",2017-07-22
2017-07-25,The Texas Chainsaw Massacre: The Beginning,2006,https://boxd.it/iNwpH,3,,"online, arthur",2017-07-24
2017-07-28,Baby Driver,2017,https://boxd.it/iRPR9,5,,movie theater,2017-07-27
2017-07-31,Blue Jasmine,2013,https://boxd.it/iXeOT,3,,"netflix, dani",2017-07-30
2017-08-01,The Beguiled,2017,https://boxd.it/iYe1z,3,,"movie theater, joao gabriel, press screening",2017-07-31
2017-08-02,In a Heartbeat,2017,https://boxd.it/iZJyr,5,,"youtube, short film, theo",2017-07-31
2017-08-02,Hoax,2016,https://boxd.it/iZPzF,2.5,,"short film, youtube",2017-08-01
2017-08-02,Room,2015,https://boxd.it/j13Rv,4.5,,,2017-08-01
2017-08-03,Mindr,2017,https://boxd.it/j2E2B,1,,"youtube, short film, chris",2017-08-02
2017-08-03,Jeepers Creepers 2,2003,https://boxd.it/j2R4F,1,,"online, gabra",2017-08-02
2017-08-05,To Die For,1995,https://boxd.it/j5T5h,4.5,,"online, dani, chris, marcos, charmers",2017-08-04
2017-08-08,Free Fire,2016,https://boxd.it/jaBhz,2,,"rabbit, gabra",2017-08-07
2017-08-08,The Last Five Years,2014,https://boxd.it/jaXO1,3.5,,"rabbit, leo",2017-08-08
2017-08-12,Where Do We Go Now?,2011,https://boxd.it/jfJbp,5,,"facom, cinema internacional",2017-08-11
2017-08-14,Sing Street,2016,https://boxd.it/jiJPZ,5,Yes,"netflix, lorena",2017-08-11
2017-08-14,Monster,2003,https://boxd.it/jiKcp,4,,"online, chris, dani, arthur",2017-08-12
2017-08-14,The Stranger Within,2013,https://boxd.it/jjnn7,0.5,,"netflix, leo, netflix binge watch challenge",2017-08-13
2017-08-15,The Italian Job,2003,https://boxd.it/jkss9,2.5,,"netflix, netflix binge watch challenge",2017-08-14
2017-08-15,Authors Anonymous,2014,https://boxd.it/jkWS7,3.5,,"netflix, netflix binge watch challenge, leo",2017-08-14
2017-08-16,Salt,2010,https://boxd.it/jlFPn,3,Yes,"netflix, netflix binge watch challenge",2017-08-15
2017-08-16,50 First Dates,2004,https://boxd.it/jm173,4.5,Yes,"netflix, netflix binge watch challenge, leo, alice, lorena",2017-08-15
2017-08-17,Fired Up!,2009,https://boxd.it/jn1nR,3,,"netflix, netflix binge watch challenge, leo, alice",2017-08-16
2017-08-18,Boys and Girls,2000,https://boxd.it/joaxt,2.5,,"netflix, netflix binge watch challenge",2017-08-17
2017-08-18,Just Like Heaven,2005,https://boxd.it/jolVL,4.5,,"netflix, netflix binge watch challenge, nico",2017-08-17
2017-08-18,Road Trip,2000,https://boxd.it/joN75,1.5,,"netflix, netflix binge watch challenge, gabra, alice, skype",2017-08-17
2017-08-19,Up in the Air,2009,https://boxd.it/jp9o3,5,,"netflix, netflix binge watch challenge",2017-08-18
2017-08-22,Young Adult,2011,https://boxd.it/jtWlZ,3.5,,"netflix, netflix binge watch challenge",2017-08-21
2017-08-23,Christmas in Conway,2013,https://boxd.it/juYlJ,3.5,,"netflix, netflix binge watch challenge",2017-08-22
2017-08-23,Liberal Arts,2012,https://boxd.it/jv9DT,1,,"netflix, netflix binge watch challenge",2017-08-22
2017-08-23,In a Heartbeat,2017,https://boxd.it/jvHmx,5,Yes,"youtube, short film",2017-08-22
2017-08-24,Drillbit Taylor,2008,https://boxd.it/jwIGF,2,,"netflix, netflix binge watch challenge",2017-08-23
2017-08-25,Shutter Island,2010,https://boxd.it/jyg1X,3,,"netflix, netflix binge watch challenge",2017-08-24
2017-08-25,Hotel for Dogs,2009,https://boxd.it/jytjF,2.5,Yes,"netflix, netflix binge watch challenge, leo",2017-08-24
2017-08-25,Disturbia,2007,https://boxd.it/jyMZ1,3.5,Yes,"netflix, netflix binge watch challenge, lucas",2017-08-24
2017-08-26,Man Up,2015,https://boxd.it/jA1w1,4,,"netflix, netflix binge watch challenge, theo",2017-08-25
2017-08-29,The Exorcism of Emily Rose,2005,https://boxd.it/jEnAH,3.5,,"netflix, netflix binge watch challenge",2017-08-28
2017-08-30,How to Lose a Guy in 10 Days,2003,https://boxd.it/jFAM9,3.5,,"netflix, netflix binge watch challenge, leo",2017-08-29
2017-08-30,Léon: The Professional,1994,https://boxd.it/jG0Ob,5,,"netflix, netflix binge watch challenge, skype, lorena",2017-08-29
2017-08-31,The Terminal,2004,https://boxd.it/jHvTD,3,,"netflix, netflix binge watch challenge",2017-08-30
2017-08-31,To the Bone,2017,https://boxd.it/jI11j,3.5,,"netflix, theo, skype",2017-08-30
2017-09-01,Superbad,2007,https://boxd.it/jIHyJ,3.5,Yes,"netflix, netflix binge watch challenge",2017-08-31
2017-09-01,From Dusk Till Dawn,1996,https://boxd.it/jIPNx,2,,"netflix, netflix binge watch challenge",2017-08-31
2017-09-01,In My Dreams,2014,https://boxd.it/jJ2QT,3,,"netflix, netflix binge watch challenge, nico",2017-08-31
2017-09-01,The Social Network,2010,https://boxd.it/jJELx,5,,"netflix, netflix binge watch challenge",2017-08-31
2017-09-01,Mean Girls,2004,https://boxd.it/jJPnV,5,Yes,"netflix, netflix binge watch challenge, lorena, alice, gabra, pedro, skype",2017-08-31
2017-09-09,Quiet City,2007,https://boxd.it/jVRPr,2.5,,"youtube, cinema internacional",2017-09-06
2017-09-09,Funny Ha Ha,2002,https://boxd.it/jVRXb,3,,online,2017-09-07
2017-09-09,Coherence,2013,https://boxd.it/jWGoL,5,Yes,"youtube, skype, victor, tamir, lucas",2017-09-08
2017-09-12,Descendants,2015,https://boxd.it/k1Qvd,4,,online,2017-09-12
2017-09-12,Descendants 2,2017,https://boxd.it/k1Vz5,3,,"rabbit, theo",2017-09-12
2017-09-16,Donnie Darko,2001,https://boxd.it/k7luP,4,,"netflix, anderson, crol",2017-09-16
